country,continent,population,cases_100k,deaths_100k,recoveries_100k,active_cases_100k,tests_100k
Cameroon,Africa,27911548.0,444.24,7.04,424.97,12.22,6276.16
Malta,Europa,444033.0,26363.36,185.57,26039.28,138.5,475017.62
Barbados,Oceania,288023.0,36857.13,198.25,36653.32,5.56,274406.56
Angola,Africa,35027343.0,300.29,5.51,294.67,0.11,4281.78
Channel Islands,Europa,176463.0,57301.53,126.37,57109.99,65.17,709955.06
French Guiana,America do Sul,314169.0,31202.31,133.69,3582.15,27486.48,207295.12
DRC,Oceania,95240792.0,100.29,1.54,88.47,10.28,889.01
Senegal,Africa,17653671.0,503.59,11.16,492.41,0.01,6494.64
Malawi,Oceania,20180839.0,438.83,13.31,423.02,2.5,3095.93
Ivory Coast,Africa,27742298.0,317.14,3.0,314.1,0.04,6025.76
Suriname,America do Sul,596831.0,13742.58,234.24,17543.05,68339.73,40145.87
New Caledonia,Oceania,290915.0,27446.16,107.94,27336.51,1.72,34018.18
French Polynesia,Oceania,284164.0,27433.81,228.39,17543.05,68339.73,213157.79
Eswatini,Oceania,1184817.0,6256.92,120.02,6133.94,2.95,88511.9
Guyana,America do Sul,794045.0,9187.14,162.96,8986.52,37.66,90406.34
Belize,Oceania,412190.0,17142.58,166.91,16970.09,5.58,139745.26
Fiji,Oceania,909466.0,7567.08,97.09,7342.77,127.22,73418.36
Madagascar,Africa,29178077.0,232.46,4.86,227.47,0.13,1796.59
Sudan,Africa,45992020.0,138.59,10.87,126.73,0.99,1224.0
Mauritania,Africa,4901981.0,1298.76,20.34,1273.71,4.71,20603.04
Cabo Verde,Africa,567678.0,11138.18,72.75,11054.86,10.57,70748.21
Bhutan,Asia,787941.0,7945.39,2.67,7813.28,129.45,292373.92
Syria,Asia,19364809.0,296.69,16.34,280.35,469.92,755.33
Burundi,Oceania,12624840.0,423.7,0.3,422.93,0.48,2738.59
Seychelles,Oceania,99426.0,50957.5,172.99,50731.2,53.31,213157.79
Gabon,Africa,2331533.0,2100.81,13.12,2087.64,0.04,69564.06
Andorra,Europa,77463.0,61757.23,213.0,61400.93,143.29,322525.59
Papua New Guinea,Oceania,9292169.0,503.11,7.21,473.32,22.58,2681.28
Curaçao,Oceania,165529.0,27781.23,178.22,27016.41,586.6,300064.04
Aruba,Oceania,107609.0,40882.27,219.31,39437.22,1225.73,165306.81
Tanzania,Oceania,63298550.0,67.4,1.34,17543.05,68339.73,213157.79
Mayotte,Africa,286259.0,14672.73,65.67,17543.05,68339.73,61803.82
